zinc_id,smiles
ZINC000000000315,C[C@H]1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23
ZINC000000000316,O=C1CO[C@H](c2ccc(C(F)(F)F)cc2)CN1
ZINC000000000318,NC1=NC[C@@H](c2ccc(C(F)(F)F)cc2)O1
ZINC000000000319,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1
ZINC000000000320,C[C@H]1c2ccccc2[C@H](CCCN(C)C)c2cc(C(F)(F)F)ccc21
ZINC000000000321,C[C@]12C[C@@H](O)[C@]3(F)[C@H](CCC4=CC(=O)CC[C@]43C)[C@@H]1CC[C@@]2(C)O
ZINC000000000322,C[C@H](C(=O)O)c1ccc(-c2cccc(F)c2)cc1
ZINC000000000323,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
ZINC000000000324,CCOC(=O)c1cn([C@H](C)c2ccc(F)cc2)cn1
ZINC000000000325,C[C@@H](Cc1ccccc1)NC=O
ZINC000000000327,N[C@H](C(=O)O)c1ccc(C=O)c(O)c1
ZINC000000000328,CN1C[C@H]2C[C@H]1CN2C(=O)c1cnccn1
ZINC000000000331,C[C@H](C(=O)O)c1cccc2c(-c3ccccc3)coc12
ZINC000000000332,COCc1nc(N2CCOCC2)ncc1C(=O)O[C@H](COC)C(=O)OC
ZINC000000000334,C[C@@H]1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)O1
ZINC000000000336,C[C@@H]1CCCC[C@]1(c1cccs1)N1CCCCC1
ZINC000000000338,C[C@@H](N)Cc1cccc(O)c1
ZINC000000000339,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
ZINC000000000340,COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NN=C(C)C2
ZINC000000000342,CC(C)c1ccc(-c2ccc(=O)n(CCC(=O)N3CCN(C4CCOCC4)CC3)n2)cc1
ZINC000000000343,CN1C(=O)[C@]23CC4=CC=C[C@@H](O)[C@@H]4N2C(=O)[C@@]1(CO)SS3
ZINC000000000344,C[C@@H](I)[C@H]1OC[C@H](CO)O1
ZINC000000000345,C=C(C)C(=O)OC[C@@H]1CO1
ZINC000000000346,C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1
ZINC000000000347,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2
ZINC000000000348,COc1ccccc1OC(=O)c1ccccc1OC(C)=O
ZINC000000000349,COc1ccccc1OC(=O)c1ccccc1
ZINC000000000350,COc1ccccc1OC(=O)Oc1ccccc1OC
ZINC000000000351,CCOc1ccccc1OC[C@H](O)CO
ZINC000000000352,COc1ccccc1OC(=O)Cc1ccccc1
ZINC000000000353,COc1ccccc1OC[C@H](O)CO
ZINC000000000354,COCCNC(=O)CN1CC[C@H](C(C)=O)C1
ZINC000000000356,CC(C)(C)CC(C)(C)NC(=N)N
ZINC000000000357,N=C(N)NC[C@H]1COc2ccccc2O1
ZINC000000000359,C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)c2cccs2)C1
ZINC000000000360,O=C(O)CC[C@]1(Cc2ccccc2)CCCCC1=O
ZINC000000000361,C[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1
ZINC000000000363,C[N+]1(C)CCN(C[C@@](O)(c2ccccc2)C2CCCCC2)CC1
ZINC000000000364,C[N+]1(C)CC[C@H](OC(=O)[C@@](O)(c2ccccc2)C2CCCCC2)C1
ZINC000000000365,C[C@H](CNC1CCCCC1)OC(=O)c1ccccc1
ZINC000000000367,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
ZINC000000000368,C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
ZINC000000000370,C[C@@H]1C[C@H](OC(=O)c2ccccc2O)CC(C)(C)C1
ZINC000000000371,CN1CCc2cc3c(cc2[C@H]1O)OCO3
ZINC000000000372,CN(C)CCC[C@@H]1c2ccccc2CSc2ccccc21
ZINC000000000373,C[C@@H](N)Cc1ccc(O)cc1
ZINC000000000374,C[C@@H](O)c1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1
ZINC000000000375,CC[C@](O)(COC(N)=O)c1ccccc1
